"id","address","max_val_sent","min_val_sent","avg_val_sent","max_value_received","min_value_received","avg_value_received","txn_fee_in","txn_fee_out","total_txn_fee","gasused_in","gasused_out","failed_txn_in","failed_txn_out","total_failed_txn","success_txn_in","success_txn_out","total_success_txn","std_value_in","mean_in","std_gasprice_in","ap_gasused_in","ap_gasused_out","avg_value_out","avg_value_in","gasprice_in","gasprice_out","gas_used_out","gas_used_in","avg_gasprice_in","avg_gasprice_out","txnsent","txnreceived","total_txn","valueout","valuein","value_difference","per_txnsent","per_txnreceived","distinct_address","unique_txnreceived","unique_txnsent","distinct_recived_address","distinct_sent_address","difftimelast","avg_time","lstvalue","first_txn_value","last_txn_bit","first_txn_bit","mean_in_time","avg_time_in","txn_fee_contract_create","per_gasused_contract_create","gasprice_contract_create","gini_amt_out","gini_amt_in","label"
4025,"0xAF6D36e6A376CDa44a5Ce9280507e5E24132C143","0.00000000000002","0.0","0.000000000000007272727272727273","0.00000000000002","0.0","0.0000000000000066666666666666664","235614884227600000","176587824227600000","412202708455200000","3460057","608704","0","0","0","12","11","23","0.000000000000009428091","0.0000000000000066666664","58779197.6761042","98159725.0","80252854.54545455","0.000000000000007272727272727273","0.0000000000000066666666666666664","240315442276","220315442276","8827814","11779167","20026286856.333332","20028676570.545456","11","12","23","0.00000000000008","0.00000000000008","0","0.4782608695652174","0.5217391304347826","0","0","0","2","1","44.583333333333336","3.715277777777778","0.0","0.0","0","0","44.583333333333336","3.715277777777778","57027060000000000","0.9661172350444017","20000000000","0.6666666666666667","0.6363636363636365","0"
2840,"0xff7c3b7f4e4260097a33c9dcc291b9d1baf2edb5","0","0","0","0","0.0","0.0","701386182922122440","0","701386182922122440","9651382","0","0","0","0","106","0","106","0.0","0.0","19131885674.139484","12719205.660377359","0","0","0.0","6259100025886","0","0","13482358","59048113451.754715","0","0","106","106","0","0.0","0","0.0","1.0","0","0","0","26","0","21722.7","204.9311320754717","0.0","0.0","0","0","21722.7","204.9311320754717","31554810000000000","1.0","42000000000","NaN","0","1"
1728,"0xed46a65c56c63d632aee7652fb766a548b230578","0","0","0","2000.0","0.0","252.09750000000003","669425802000000000","0","669425802000000000","4661654","0","0","0","0","32","0","32","496.72742","252.0975","70380265955.29105","21184306.25","0","0","252.09750000000003","3493000000000","0","0","6778978","109156250000.0","0","0","32","32","0","8067.120000000001","0","0.0","1.0","0","0","0","4","0","374035.18333333335","11688.599479166667","202.0","0.0","0","0","374035.18333333335","11688.599479166667","149616670000000000","1.0","70000000000","0.8062048208870898","0","0"
5197,"0x6e38a457c722c6011b2dfa06d49240e797844d66","0","0","0","0","0.0","0.0","531141250567010000","0","531141250567010000","6308098","0","4","0","4","23","0","23","0.0","0.0","7547146926.429106","37660540.74074074","0","0","0.0","1426591517453","0","0","10168346","52836722868.62963","0","0","27","27","0","0.0","0","0.0","1.0","0","8","0","13","0","402720.3","14915.566666666666","0.0","0.0","0","0","402720.3","14915.566666666666","15492724600857000","0.9888888888888889","58025185771","NaN","0","0"
6653,"0xf243688304fa4f6c6efadc22b9c1dd009aa76650","0","0","0","1.0","0.0","0.875","96390974600368000","0","96390974600368000","2517237","0","1","0","1","23","0","23","0.3307189","0.875","2926499729.872922","20131095.833333336","0","0","0.875","465740885310","0","0","4831463","19405870221.25","0","0","24","24","0","21.0","0","0.0","1.0","0","3","0","9","0","1087574.9666666666","45315.62361111111","0.0","0.0","0","0","1087574.9666666666","45315.62361111111","7459240000000000","0.7885665233147695","20000000000","0.125","0","1"
5038,"0x49aec0752e68d0282db544c677f6ba407ba17ed7","0","0","0","0.016","0.0","0.000005820570613409415","8753033226068642293","0","8753033226068642293","137027381","0","86","0","86","3419","0","3419","0.00027674934","0.000005820571","15496457868.590658","13976592.867332382","0","0","0.000005820570613409415","66403932234386","0","0","489879580","18945487085.416832","0","0","3505","3505","0","0.0204011","0","0.0","1.0","0","739","0","1079","0","2034155.8833333333","580.3583119353304","0.0","0.0","0","0","2034155.8833333333","580.3583119353304","15193353000000000","0.9999986178185306","21000000000","0.9995635460687862","0","0"
5210,"0x44691b39d1a75dc4e0a0346cbb15e310e6ed1e86","0","0","0","0.0055","0.0","0.000004116766467065868","14633910745797849397","0","14633910745797849397","83302360","0","12","0","12","1324","0","1324","0.00015041696","0.0000041167664","24708681081.450836","62330941.91616767","0","0","0.000004116766467065868","26177013495922","0","0","832741384","19593572975.98952","0","0","1336","1336","0","0.0055","0","0.0","1.0","0","72","0","204","0","2532575.3666666667","1895.6402445109782","0.0","0.0","0","0","2532575.3666666667","1895.6402445109782","10556490000000000","0.8333333333333334","21000000000","0.999251497005988","0","0"
5062,"0xf3860b668077946bd2ce41a5999560c51648aa18","0","0","0","0","0.0","0.0","351419967800000000","0","351419967800000000","7521315","0","10","0","10","130","0","130","0.0","0.0","19687850029.282276","7333536.428571428","0","0","0.0","5451000000000","0","0","10266951","38935714285.71429","0","0","140","140","0","0.0","0","0.0","1.0","0","9","0","17","0","377986.8","2699.905714285714","0.0","0.0","0","0","377986.8","2699.905714285714","29769180000000000","0.999999294572938","21000000000","NaN","0","0"
2027,"0xbe46324018124b2d604c2f3eae91d3de9b388b09","0","0","0","1.62636360375262","0.0","0.2770895296640254","63608672022677444","0","63608672022677444","2747338","0","0","0","0","18","0","18","0.46377593","0.27708954","449201555.63616794","17485211.111111112","0","0","0.2770895296640254","362695048732","0","0","3147338","20149724929.555557","0","0","18","18","0","4.987611533952457","0","0.0","1.0","0","0","0","4","0","6736.983333333334","374.27685185185186","0.16","0.0","0","0","6736.983333333334","374.27685185185186","12061480000000000","0.8577674611776285","20000000000","0.7155500093512546","0","1"
6442,"0x162ac26e2f0fe036c3a3d370c118de0b6c883083","0","0","0","0.00000000000001","0.0","0.0000000000000004545454545454546","91610661000000000","0","91610661000000000","1758832","0","1","0","1","21","0","21","0.0000000000000020829887","0.00000000000000045454546","7440119078.403683","17381095.454545457","0","0","0.0000000000000004545454545454546","526000000000","0","0","3823841","23909090909.090908","0","0","22","22","0","0.00000000000001","0","0.0","1.0","0","2","0","6","0","60731.166666666664","2760.5075757575755","0.0","0.0","0","0","60731.166666666664","2760.5075757575755","11378700000000000","0.948225","20000000000","0.9545454545454546","0","0"
